Lokasi,Luas Tanah,Luas Bangunan,Carport,Jumlah Kamar Tidur,Jumlah Kamar Mandi,Harga Rumah
Premier,84.0,60.0,2,0,0,940.0
Premier,77.0,50.0,1,0,0,860.0
Premier,81.0,40.0,1,0,0,500.0
Premier,78.0,78.0,1,0,0,610.0
Premier,84.0,60.0,2,0,0,760.0
Premier,90.0,110.0,2,0,0,1110.0
Premier,104.0,150.0,2,0,0,560.0
Premier,80.0,117.0,3,0,0,1440.0
Premier,72.0,45.0,1,0,0,990.0
Premier,66.0,76.0,1,0,0,1450.0
Premier,100.0,300.0,1,0,0,1900.0
Premier,77.0,95.0,2,5,4,2100.0
Premier,1980.0,400.0,0,8,7,14700.0
Premier,96.0,85.0,2,3,0,895.0
Premier,105.0,120.0,3,3,0,1400.0
Premier,95.0,90.0,3,3,0,1150.0
Premier,105.0,140.0,0,5,3,1400.0
Premier,95.0,85.0,2,2,0,1200.0
Premier,82.0,126.0,2,2,0,1450.0
Premier,130.0,150.0,1,0,0,2490.0
Premier,60.0,50.0,1,0,0,450.0
Premier,60.0,50.0,1,0,0,450.0
Premier,60.0,50.0,1,0,0,450.0
Premier,104.0,120.0,1,5,4,2600.0
Premier,104.0,118.0,2,5,4,2500.0
Premier,91.0,84.0,1,0,0,1900.0
Premier,66.0,69.0,1,0,0,1450.0
Premier,153.0,200.0,3,2,0,3200.0
Premier,328.0,600.0,0,7,4,4500.0
Premier,90.0,180.0,1,0,0,1100.0
Premier,104.0,100.0,2,4,4,2200.0
Premier,60.0,31.0,1,2,0,800.0
Premier,109.0,175.0,4,5,0,1550.0
Premier,60.0,59.0,1,0,0,863.0
Premier,146.0,106.0,2,0,0,1330.0
Premier,78.0,70.0,1,0,0,710.0
Premier,337.0,250.0,2,0,0,4980.0
Premier,70.0,42.0,1,2,0,1060.0
Premier,180.0,190.0,3,3,0,3650.0
Premier,78.0,82.0,2,2,0,1490.0
Premier,70.0,42.0,1,2,0,1060.0
Premier,60.0,31.0,1,2,0,800.0
Premier,180.0,150.0,2,0,0,4250.0
Premier,298.0,200.0,4,6,0,3800.0
Premier,70.0,42.0,1,2,0,1060.0
Premier,60.0,73.0,2,0,0,670.0
Premier,2720.0,2205.0,0,0,0,23500.0
Premier,216.0,150.0,0,4,3,3100.0
Premier,72.0,42.0,1,2,0,670.0
Premier,60.0,45.0,1,2,0,670.0
Premier,203.0,300.0,3,0,0,3350.0
Premier,234.0,434.0,3,0,0,4250.0
Premier,99.0,120.0,2,0,0,890.0
Premier,350.0,250.0,1,0,0,4500.0
Premier,96.0,200.0,3,2,0,1200.0
Premier,60.0,36.0,1,0,0,500.0
Premier,72.0,70.0,2,0,0,560.0
Premier,111.0,150.0,3,0,0,1330.0
Premier,72.0,55.0,1,0,0,610.0
Premier,132.0,170.0,2,0,0,1220.0
Premier,144.0,144.0,2,0,0,1550.0
